EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
77,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.75,16,16,350,244.482,0.6253883391732119,0.22233251952495392,0.4153660745681429
78,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.75,16,16,400,243.498,0.654042241158315,0.25538442139523065,0.3918703946223615
79,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.75,16,16,450,252.724,0.6387063250744381,0.3206336635191174,0.3311903992566793
80,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,0.75,16,16,500,249.872,0.8474953925548531,0.4153240610512536,0.34607602630681844
81,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,0,0,50,41.09,-0.7475840401511418,0.010715148897840924,0.8219652828851296
82,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,0,0,100,103.526,-1.1967443536871627,0.015220613884200523,0.842656430362966
83,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,0,0,150,160.512,-0.8868196130654323,0.13027498524599576,0.6429130710916486
84,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,0,0,200,193.206,-0.25045585400649456,0.20830798729715072,0.4999604381859377
85,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,0,0,250,211.994,0.2200929237827259,0.2333520163027781,0.47197419856615297
86,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,0,0,300,236.824,0.5687218084889378,0.2647636023828348,0.4687615823527817
87,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,0,0,350,237.102,0.6909892054863707,0.27952082521727584,0.47050866138910075
88,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,0,0,400,246.63,0.7548890601767082,0.30369318363636844,0.4565576010257863
89,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,0,0,450,245.908,0.7668519658962721,0.3419937378271225,0.4372959024887347
90,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,0,0,500,250.214,0.8172901965547625,0.4063261807081718,0.4125072334567732
91,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,16,16,50,10.34,-0.6127958155048199,0.0786093607488419,0.6145123404689765
92,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,16,16,100,48.234,-1.198972531713081,0.005072703582514619,0.8517798749923221
93,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,16,16,150,104.042,-1.2359445491256755,0.02892744906412906,0.8094851530803159
94,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,16,16,200,150.846,-0.59523409016867,0.10025779287813215,0.6684945437324592
95,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,16,16,250,181.574,0.09645657772304007,0.15983205005170764,0.5867081532178835
96,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,16,16,300,205.93,0.4846485160173479,0.1993221165678332,0.5499126669226306
97,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,16,16,350,224.084,0.6559166728200925,0.24678735904362178,0.5174933519255395
98,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,16,16,400,224.57,0.707571867065946,0.2812065923214532,0.4847519717357765
99,10,500,<function betadist_payoff at 0x1007abf28>,<function randomshock at 0x1007abea0>,<function softmax_strategy at 0x1007ab7b8>,<function belief_with_latency_and_memory at 0x1007abc80>,0,1,16,16,450,224.728,0.7350799397849012,0.3462242615544848,0.43945593985693054
